Title,Company,CompanyRating,Location,Salary
"Seasonal Support Stock Associate - Moncler Ready To Wear, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Cosmetic Regulatory Affairs Manager - Oral Care,LG H&H USA,,"New York, NY ",8.0
"Seasonal Brand Sales Stock Support Associate - Calvin Klein Womens Coats, Herald Square - Full Time",Macy’s,3.6,"New York, NY ",32400.0
Cashier - JFK Airport,SSP America,,"Jamaica, NY ",38880.0
"Nike Flushing Queens Retail Sales Associate Part-Time (""Athlete"")",NIKE INC,4.1,"Queens, NY ",32400.0
TMS Technician,Neurotherapeutix,,"New York, NY ",64800.0
Urban Outfitters Seasonal Sales Associate,Urban Outfitters,3.5,"New York, NY +4 locations",
Digital Marketer,JobPrepped,5.0,"New York, NY ",5.0
Janitorial Worker,The Fifth Labor,,"Manhattan, NY ",32400.0
"Overnight Grocery Team Member (Stocker, Inventory, Receiving) - Part Time",Whole Foods Market,3.7,"Brooklyn, NY +6 locations",
City Point - Part Time Retail Assistant,Primark - US,3.5,"Brooklyn, NY ",
"Caregiver Needed ASAP in Manhattan, NY",Meetcaregivers,4.0,"Manhattan, NY ",43200.0
"Sales Associate - Louis Vuitton, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Customer Experience Agent - Part time - JFK,British Airways,3.7,"Queens, NY ",
Member Advocate,Parsley Health,,"New York, NY ",
Mailroom Clerk,Compass Group,3.2,"New York, NY ",41040.0
Telephone Operator,St. Barnabas,3.3,"Bronx, NY ",
Bookkeeper,BMW of Manhattan and MINI of Manhattan,,"New York, NY ",1.0
Fine Dining Server,Nusr-Et Steakhouse Meatpacking,,"New York, NY ",43200.0
Leasing Manager,TF Cornerstone,3.9,"New York, NY ",7.0
Guest Service Representative,New Age Property Associates,,"New York, NY ",43200.0
Retail Sales Associate,The National September 11 Memorial & Museum,,"New York, NY ",
Seasonal Gift Wrapper,Nifty Package Co,,"New York, NY ",38880.0
New York City Housing Authority (Contract) Office Assistant,Toll International LLC,,"New York, NY ",1.0
Overnight Inbound (Stocking),TARGET,3.6,"Brooklyn, NY +17 locations",
Houseman,The Manhattan Club,3.6,"New York, NY ",60480.0
Seasonal Overnight Retail Stock - Union Square Rack,Nordstrom,3.8,"New York, NY ",34560.0
Warehouse Associate - Central Harlem,"DoorDash, Inc.",3.3,"New York, NY +1 location",41040.0
Back Waiter/Food Runner,da Toscano,,"New York, NY ",
Intake Team Lead,FreedomCare,4.3,"New York, NY ",
Bronx Facilities Manager,Goldfarb Properties,4.0,"New York, NY ",8.0
Cashier Associate,Mango,3.6,"New York, NY ",36720.0
Housing Front Desk Attendant,Project Renewal,3.4,"New York, NY ",36720.0
Content Creator,Focus Integrated Fitness,4.6,"New York, NY ",5.0
Reward Analyst - New York,TikTok,3.4,"New York, NY ",
Medical Assistant,PureOBGYN,,"New York, NY ",38880.0
Warehouse Associate Night Shift,Poland Spring,3.4,"Long Island City, NY ",
Barista,Starbucks,3.9,"New York, NY +125 locations",34560.0
"Corporate Traveler - Corporate Travel Consultant - New York, NY",Corporate Traveler (US),3.4,"New York, NY ",5.0
"Sales Associate - David Yurman, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
"Hospital/Community liaison *very high salary* 20,000 sign on bonus",Horizon Care Center,3.1,"Far Rockaway, NY ",
Restaurant Team Member - Crew,Chipotle Mexican Grill,3.5,"New York, NY +67 locations",36720.0
Server,Moko,,"New York, NY ",64800.0
Crew Member,Chipotle Mexican Grill,3.5,"New York, NY +12 locations",
Sales Associates: Handbags and Accessories Virtual Hiring Event,Bloomingdale’s,3.6,"New York, NY ",32400.0
Junior Business Analyst (Remote),Mobile Health,3.1,"New York, NY ",7.0
High-level Executive and Personal Assistant,Confidential,,"New York, NY ",
Locomotive Engineer Trainee,Metropolitan Transportation Authority,4.0,"Queens, NY ",
Coat Check,Peak,,"New York, NY ",
"Technician, Specimen I",Quest Diagnostics,3.6,"Manhattan, NY +1 location",
Nurse Aide (Trnsprt Escrt),NYC Health + Hospitals,3.8,"New York, NY ",
Bilingual Spanish Home Care Coordinator,Heart to Heart Home Care,3.2,"Brooklyn, NY ",
"Corporate Services Associate, Full Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
"PR Trainee, Entertainment Relations",Christian Dior Couture,4.1,"New York, NY ",
"Sales Associate - Armani Collezione, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Territory Account Manager - Hudson Yards,Uline,3.1,"Manhattan, NY ",6.0
Bartender,Fairfield Inn & Suites,3.4,"New York, NY ",
Cashiers,Panera Bread,3.4,"New York, NY +33 locations",
Barista,The Juice Press Llc,3.1,"New York, NY ",
Cruise Ship Staff - Virtual Job Fair @ Norwegian Cruise Line!!,Norwegian Cruise Line Holdings,3.8,"New York, NY ",
Onsite Leasing Agent,Stellar Management,3.5,"New York, NY ",4.0
"Case Support Specialist, Homebase, Brooklyn and Staten Island",CAMBA,3.5,"Brooklyn, NY ",54000.0
CARETAKER X,NYC Careers,,"Manhattan, NY ",3.0
COVID-19 Vaccinator,Jacaranda Consulting,,"New York, NY ",118800.0
HR Associate,United States District Court Northern District of Indiana,4.3,"New York, NY ",5.0
Baggage Handling Agent-JFK Airport-Vaccinations Required,"PrimeFlight Aviation Services, Inc.",,"Jamaica, NY ",43200.0
Bartender,Virgils Real BBQ - Time Square,,"New York, NY ",64800.0
"Sales Associate - Kooples Women's, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Driver with own car,ELIFE TRANSFER,,"New York, NY ",40500.0
Diesel Technicians - All Levels,"Allegiance Trucks, LLC.",,"Brooklyn, NY ",
Team Member,Applebee's,3.5,"Brooklyn, NY ",32400.0
Sales Associate,Maya Events,,"New York, NY ",35100.0
Customer Support Associate - Part-Time,Jackpocket,,"New York, NY ",
Call Center Agent,Meliora,,"New York, NY ",34560.0
Spa Receptionist,Green Tea Spa at 35th,,"New York, NY ",32400.0
Data Entry,"C6 Capital, LLC",,"New York, NY ",32400.0
IT Help Desk Support,Peraton,3.2,"New York, NY ",
Guest Service Agent,"The Standard, East Village",,"New York, NY ",45360.0
Passenger Service Agent - JFK- Full Time and Part Time / SIGN ON BONUS!!!,The Professional Group,3.7,"New York, NY ",36720.0
Front Desk Receptionist,Libera medical Pllc,,"New York, NY ",38880.0
Crime Victim/ Domestic Violence Advocate - Manhattan,Safe Horizon,3.8,"New York, NY +4 locations",
Accounts Payable Specialist,Charlie Health,3.8,"New York, NY ",
HR Generalist,Northspyre,,"New York, NY ",
Customer Service Representative - NJ,Wine.com,3.7,"Maplewood, NJ +1 location",
Starbucks Barista,Starbucks,3.9,"New York, NY +4 locations",34560.0
"Sales Associate - Hobbs, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
"Sales Associate - Handbags, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Personal Assistant,10th Ave Chelsea,,"New York, NY ",108000.0
Data Entry Clerk- (Overnight),Confidential,,"Bronx, NY ",4.0
"Confidential Investigator, Special Investigations (Level 3) – 14464",NYC Department of Education,3.9,"New York, NY ",6.0
Now Hiring Cashier AND Stocker in Williamsburg,Tenichi Mart,,"Brooklyn, NY ",32400.0
IT Operations Manager,Charlie Health,3.8,"New York, NY ",
Cashier,Cipriani,4.0,"New York, NY ",
Executive Assistant,Workforce Opportunity Services,3.5,"New York, NY ",97200.0
Front Desk Receptionist,Chaps & Co New York,,"New York, NY ",36720.0
Administrative Support Associate,Northwell Health,3.9,"New York, NY ",
Retail Associate - Cashier,Compass,,"New York, NY ",38880.0
JFK Cabin Lavatory Driver,ERMC Aviation LLC,,"Jamaica, NY ",45360.0
Student Associate Program - Human Resources & People Acquisition (Summer Season 2023),Madison Square Garden Entertainment,3.9,"New York, NY ",
Research Assistant I-Neurosciences,Mount Sinai,3.8,"New York, NY ",
Substitute Teachers,United Nations International School,4.1,"New York, NY ",142560.0
Stock Associate,FERRAGAMO USA INC,4.0,"New York, NY ",
Cat Sitter,NYC Cat Sitting,,"Brooklyn, NY ",32400.0
Store Associate,Goodwill Industries Of Greater New York,3.8,"New York, NY ",32400.0
Flight Club Seasonal Consignment Associate 2022,GOAT,3.5,"New York, NY ",
Proctor,Touro University New York,,"New York, NY ",
Territory Account Manager - Manhattan,Uline,3.1,"New York, NY ",6.0
"Commission Sales Associate - Handbags, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
