Title,Company,CompanyRating,Location,Salary
Nurse Aide (Transport Escort),NYC Health + Hospitals,3.8,"New York, NY ",
In-Store Shopper (Online Orders) - Part Time,Whole Foods Market,3.7,"New York, NY +10 locations",
Admissions Clerk,New York University,4.2,"New York, NY ",
Starbucks Barista/Cashier,STARBUCKS,3.9,"New York, NY ",$16 - $20 an hour
Driver,LAVIPOUR & CO,,"New York, NY ",$350 a day
Patient Dining Associate,Restaurant Associates,3.8,"New York, NY ",
Airport Social Media Monitor - On-Call - JFK,ERMC Aviation LLC,,"Jamaica, NY ",$25.78 an hour
Patient Services Associate- Remote work from home opportunity,Alliance HealthCare Services,3.2,United States ,
Nurse Appeals - Child Req. for JR15929,Elevance Health,3.6,"New York, NY ",
Special Agent,Federal Bureau of Investigation,4.3,"Newark, NJ ","$78,000 - $153,000 a year"
Part Time Sales Associate - SoHo,Dr. Martens Airwair USA,4.0,"New York, NY ",$19 an hour
Freelance Voice Over Artist,Filmless,,"New York, NY ",
Assistant Case Manager,Fairview Rehab and Nursing home,,"Forest Hills, NY ","$1,850 - $3,767 a week"
Closing Agent For Merchant Cash Advance,SUTTON FUNDING,,"New York, NY ","$100,000 - $250,000 a year"
"Sales Associate - Herve Leger, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
Part-Time Educator,Lululemon,4.2,"New York, NY ",$15.00 - $20.25 an hour
Warehouse Associate,UNITED PARCEL SERVICE,3.7,"New York, NY +3 locations",$18.50 an hour
Customer Care Reps - Work from Home,WellSense Health Plan,3.2,"New York, NY ",$19.50 an hour
HIRING NOW** Nordstrom Flagship NYC - The Tower & The Men's Store,Nordstrom,3.8,"New York, NY ",$17 - $100 an hour
Starbucks Barista FiDi / TriBeCa,Starbucks,,"New York, NY ",$16.00 - $16.50 an hour
Academic Tutors Online,Learnt,,"New York, NY ",
Maintenance Apprentice,United Parcel Service,3.7,"New York, NY ",
Warehouse Agent - JFK AIRPORT,Corporate Loss Prevention Associates,,"Jamaica, NY ",$17 an hour
"Customer Service Representative - 90345085 - New York, NY",Amtrak,3.7,"New York, NY ",
Hotel Reservation Agent,The Dominick Hotel,3.0,"New York, NY ",$30 - $32 an hour
Dog Walker,Dog City NYC,,"New York, NY ",$450 - $950 a week
Driver/Office Assistant,(Confidential) Real Estate and Property Management Firm,,"New York, NY ",$24 - $30 an hour
City Laborer - OER,NYC Careers,,"New York, NY ",$290 a day
"Book Publishing, Assistant",Creative Artists Agency (CAA),3.9,"New York, NY ",
Covid Tester,SafeCamp,,"New York, NY ",
Customer Service Associate,Manhattan Connections,,"New York, NY +1 location","$700 - $1,500 a week"
Server,Estiatorio Milos,3.2,"New York, NY ","$95,000 - $125,000 a year"
